Time;Channel A;Channel B
-25,03547072;1,44154179;4,96704006
-25,01499072;1,44154179;4,96704006
-24,99451072;1,44154179;4,96704006
-24,97403072;1,44154179;4,96704006
-24,95355072;1,44154179;4,96704006
-24,93307072;1,44154179;4,96704006
-24,91259072;1,44154179;
-24,89211072;1,44154179;4,96704006
-24,87163073;1,39774776;4,96704006
-24,85115073;1,39774776;4,96704006
-24,83067073;1,39774776;4,96704006
-24,81019073;1,35410631;4,96704006
-24,78971073;1,35410631;4,96704006
-24,76923073;1,35410631;4,96704006
-24,74875073;1,35410631;4,96704006
-24,72827073;1,35410631;4,96704006
-24,70779073;1,35410631;4,96704006
-24,68731073;1,31031215;4,96704006
-24,66683073;1,31031215;4,96704006
-24,64635073;1,31031215;4,96704006
-24,62587073;1,26651812;4,96704006
-24,60539073;1,26651812;4,96704006
-24,58491073;1,26651812;4,96704006
-24,56443073;1,26651812;4,96704006
-24,54395073;1,26651812;4,96704006
-24,52347073;1,26651812;4,96704006
-24,50299073;1,26651812;4,96704006
-24,48251073;1,22287667;4,96704006
-24,46203073;1,22287667;4,96704006
-24,44155073;1,22287667;
-24,42107073;1,22287667;4,96704006
-24,40059073;1,22287667;4,96704006
-24,38011073;1,22287667;4,96704006
-24,35963073;1,17908263;4,96704006
-24,33915073;1,17908263;4,96704006
-24,31867073;1,17908263;4,96704006
-24,29819073;1,17908263;4,96704006
-24,27771073;1,17908263;4,92309332
-24,25723073;1,13528860;4,96704006
-24,23675073;1,13528860;4,96704006
-24,21627073;1,13528860;4,96704006
-24,19579073;1,13528860;
-24,17531073;1,13528860;4,96704006
-24,15483073;1,09164703;4,96704006
-24,13435073;1,09164703;4,96704006
-24,11387073;1,09164703;4,96704006
-24,09339073;1,09164703;4,96704006
-24,07291073;1,09164703;
-24,05243073;1,09164703;4,96704006
-24,03195073;1,04785299;4,96704006
-24,01147073;1,04785299;4,96704006
-23,99099073;1,04785299;4,96704006
-23,97051073;1,04785299;4,96704006
-23,95003073;1,00405896;4,96704006
-23,92955073;1,00405896;4,96704006
-23,90907073;1,00405896;4,96704006
-23,88859073;1,00405896;4,96704006
-23,86811073;1,00405896;4,96704006
-23,84763073;1,00405896;4,96704006
-23,82715073;1,00405896;4,96704006
-23,80667073;0,96041751;4,96704006
-23,78619073;0,96041751;4,96704006
-23,76571073;1,00405896;4,96704006
-23,74523073;0,96041751;4,96704006
-23,72475073;0,96041751;4,96704006
-23,70427073;0,91662341;4,96704006
-23,68379073;0,91662341;4,96704006
-23,66331073;0,91662341;4,96704006
-23,64283073;0,91662341;4,96704006
-23,62235073;0,91662341;4,96704006
-23,60187073;0,87282938;4,96704006
-23,58139073;0,87282938;4,96704006
-23,56091073;0,87282938;
-23,54043073;0,87282938;4,96704006
-23,51995073;0,87282938;4,96704006
-23,49947073;0,82918793;4,96704006
-23,47899073;0,87282938;4,96704006
-23,45851073;0,82918793;4,96704006
-23,43803073;0,82918793;4,96704006
-23,41755073;0,82918793;4,96704006
-23,39707073;0,82918793;4,96704006
-23,37659073;0,78539383;
-23,35611073;0,78539383;4,96704006
-23,33563073;0,78539383;4,96704006
-23,31515073;0,78539383;4,96704006
-23,29467073;0,78539383;4,96704006
-23,27419073;0,78539383;4,96704006
-23,25371073;0,74159980;4,96704006
-23,23323074;0,74159980;4,96704006
-23,21275074;0,74159980;4,96704006
-23,19227074;0,74159980;4,96704006
-23,17179074;0,74159980;4,96704006
-23,15131074;0,74159980;4,96704006
-23,13083074;0,69780570;4,96704006
-23,11035074;0,69780570;4,96704006
-23,08987074;0,69780570;4,96704006
-23,06939074;0,69780570;4,92309332
-23,04891074;0,65416425;
-23,02843074;0,65416425;4,96704006
-23,00795074;0,65416425;4,96704006
-22,98747074;0,65416425;4,96704006
-22,96699074;0,65416425;4,96704006
-22,94651074;0,65416425;4,96704006
-22,92603074;0,61037016;4,96704006
-22,90555074;0,61037016;
-22,88507074;0,61037016;4,96704006
-22,86459074;0,61037016;4,96704006
-22,84411074;0,61037016;4,96704006
-22,82363074;0,61037016;4,96704006
-22,80315074;0,56657612;4,96704006
-22,78267074;0,56657612;4,96704006
-22,76219074;0,56657612;4,96704006
-22,74171074;0,56657612;4,96704006
-22,72123074;0,56657612;4,96704006
-22,70075074;0,52293468;4,96704006
-22,68027074;0,52293468;4,96704006
-22,65979074;0,52293468;4,96704006
-22,63931074;0,52293468;4,96704006
-22,61883074;0,47914061;4,21979427
-22,59835074;0,47914061;-0,00015259
-22,57787074;0,47914061;-0,00015259
-22,55739074;0,47914061;-0,00015259
-22,53691074;0,47914061;-0,00015259
-22,51643074;0,47914061;-0,00015259
-22,49595074;0,47914061;-0,00015259
-22,47547074;0,47914061;-0,00015259
-22,45499074;0,43534654;-0,00015259
-22,43451074;0,39170507;-0,00015259
-22,41403074;0,39170507;-0,00015259
-22,39355074;0,43534654;-0,00015259
-22,37307074;0,39170507;-0,00015259
-22,35259074;0,39170507;-0,00015259
-22,33211074;0,39170507;-0,00015259
-22,31163074;0,39170507;-0,00015259
-22,29115074;0,34791100;-0,00015259
-22,27067074;0,34791100;-0,00015259
-22,25019074;0,34791100;-0,00015259
-22,22971074;0,34791100;-0,00015259
-22,20923074;0,34791100;-0,00015259
-22,18875074;0,34791100;-0,00015259
-22,16827074;0,30411693;-0,00015259
-22,14779074;0,30411693;-0,00015259
-22,12731074;0,30411693;-0,00015259
-22,10683074;0,30411693;-0,00015259
-22,08635074;0,30411693;-0,00015259
-22,06587074;0,30411693;-0,00015259
-22,04539074;0,26047549;-0,00015259
-22,02491074;0,26047549;-0,00015259
-22,00443074;0,26047549;-0,00015259
-21,98395074;0,26047549;-0,00015259
-21,96347074;0,26047549;-0,00015259
-21,94299074;0,26047549;-0,00015259
-21,92251074;0,21668142;-0,00015259
-21,90203074;0,26047549;-0,00015259
-21,88155074;0,21668142;-0,00015259
-21,86107074;0,21668142;-0,00015259
-21,84059074;0,17288736;-0,00015259
-21,82011074;0,21668142;-0,00015259
-21,79963074;0,17288736;-0,00015259
-21,77915074;0,17288736;-0,00015259
-21,75867074;0,17288736;-0,00015259
-21,73819074;0,12924589;-0,00015259
-21,71771074;0,17288736;-0,00015259
-21,69723074;0,12924589;-0,00015259
-21,67675074;0,12924589;-0,00015259
-21,65627074;0,12924589;-0,00015259
-21,63579074;0,12924589;-0,00015259
-21,61531074;0,12924589;-0,00015259
-21,59483075;0,08560442;-0,00015259
-21,57435075;0,08560442;-0,00015259
-21,55387075;0,08560442;-0,00015259
-21,53339075;0,08560442;-0,00015259
-21,51291075;0,08560442;-0,00015259
-21,49243075;0,04181036;-0,00015259
-21,47195075;0,04181036;-0,00015259
-21,45147075;0,04181036;-0,00015259
-21,43099075;0,04181036;-0,00015259
-21,41051075;-0,00198370;-0,00015259
-21,39003075;-0,00198370;-0,00015259
-21,36955075;-0,00198370;-0,00015259
-21,34907075;-0,00198370;-0,00015259
-21,32859075;-0,00198370;-0,00015259
-21,30811075;-0,00198370;-0,00015259
-21,28763075;-0,00198370;-0,00015259
-21,26715075;0,04181036;-0,00015259
-21,24667075;-0,00198370;-0,00015259
-21,22619075;0,04181036;-0,00015259
-21,20571075;0,04181036;-0,00015259
-21,18523075;0,04181036;-0,00015259
-21,16475075;0,04181036;-0,00015259
-21,14427075;0,04181036;-0,00015259
-21,12379075;0,04181036;-0,00015259
-21,10331075;0,08560442;-0,00015259
-21,08283075;0,08560442;-0,00015259
-21,06235075;0,08560442;-0,00015259
-21,04187075;0,08560442;-0,00015259
-21,02139075;0,08560442;-0,00015259
-21,00091075;0,12924589;-0,00015259
-20,98043075;0,12924589;-0,00015259
-20,95995075;0,12924589;-0,00015259
-20,93947075;0,12924589;-0,00015259
-20,91899075;0,12924589;-0,00015259
-20,89851075;0,17288736;-0,00015259
-20,87803075;0,12924589;-0,00015259
-20,85755075;0,17288736;-0,00015259
-20,83707075;0,17288736;-0,00015259
-20,81659075;0,17288736;-0,00015259
-20,79611075;0,17288736;-0,00015259
-20,77563075;0,17288736;-0,00015259
-20,75515075;0,21668142;-0,00015259
-20,73467075;0,21668142;-0,00015259
-20,71419075;0,21668142;-0,00015259
-20,69371075;0,21668142;-0,00015259
-20,67323075;0,26047549;-0,00015259
-20,65275075;0,26047549;-0,00015259
-20,63227075;0,26047549;-0,00015259
-20,61179075;0,26047549;-0,00015259
-20,59131075;0,26047549;-0,00015259
-20,57083075;0,26047549;-0,00015259
-20,55035075;0,30411693;-0,00015259
-20,52987075;0,30411693;-0,00015259
-20,50939075;0,30411693;-0,00015259
-20,48891075;0,30411693;-0,00015259
-20,46843075;0,30411693;-0,00015259
-20,44795075;0,30411693;-0,00015259
-20,42747075;0,34791100;-0,00015259
-20,40699075;0,34791100;-0,00015259
-20,38651075;0,34791100;-0,00015259
-20,36603075;0,39170507;-0,00015259
-20,34555075;0,39170507;-0,00015259
-20,32507075;0,39170507;-0,00015259
-20,30459075;0,39170507;-0,00015259
-20,28411075;0,39170507;-0,00015259
-20,26363075;0,39170507;-0,00015259
-20,24315075;0,43534654;-0,00015259
-20,22267075;0,43534654;-0,00015259
-20,20219075;0,43534654;-0,00015259
-20,18171075;0,43534654;-0,00015259
-20,16123075;0,43534654;-0,00015259
-20,14075075;0,47914061;-0,00015259
-20,12027075;0,47914061;-0,00015259
-20,09979075;0,47914061;-0,00015259
-20,07931075;0,47914061;-0,00015259
-20,05883075;0,47914061;-0,00015259
-20,03835075;0,47914061;-0,00015259
-20,01787075;0,47914061;-0,00015259
-19,99739075;0,52293468;-0,00015259
-19,97691075;0,52293468;3,03292942
-19,95643075;0,52293468;4,92309332
-19,93595076;0,56657612;4,96704006
-19,91547076;0,52293468;4,92309332
-19,89499076;0,56657612;4,96704006
-19,87451076;0,56657612;4,96704006
-19,85403076;0,56657612;4,96704006
-19,83355076;0,56657612;4,96704006
-19,81307076;0,56657612;4,96704006
-19,79259076;0,61037016;4,96704006
