Temps;Canal A;Canal B
(ms);(V);(V)

-25,03009513;1,27735200;1,88283900
-25,00961513;1,27735200;1,88283900
-24,98913513;1,27735200;1,88283900
-24,96865513;1,27735200;1,88283900
-24,94817513;1,27735200;1,88283900
-24,92769513;1,23325300;1,83797700
-24,90721513;1,27735200;1,83797700
-24,88673513;1,23325300;1,83797700
-24,86625513;1,23325300;1,83797700
-24,84577513;1,23325300;1,83797700
-24,82529513;1,23325300;1,79311500
-24,80481513;1,18915400;1,79311500
-24,78433513;1,18915400;1,79311500
-24,76385513;1,18915400;1,79311500
-24,74337513;1,18915400;1,74825300
-24,72289513;1,18915400;1,74825300
-24,70241513;1,18915400;1,74825300
-24,68193513;1,18915400;1,70339100
-24,66145513;1,14505400;1,70339100
-24,64097513;1,14505400;1,70339100
-24,62049513;1,10095500;1,70339100
-24,60001513;1,14505400;1,65868100
-24,57953513;1,10095500;1,65868100
-24,55905513;1,10095500;1,65868100
-24,53857513;1,10095500;1,65868100
-24,51809513;1,10095500;1,61381900
-24,49761513;1,10095500;1,61381900
-24,47713513;1,05685600;1,61381900
-24,45665513;1,05685600;1,56895700
-24,43617513;1,05685600;1,56895700
-24,41569513;1,05685600;1,52409400
-24,39521513;1,05685600;1,56895700
-24,37473513;1,01275700;1,52409400
-24,35425513;1,05685600;1,52409400
-24,33377513;1,01275700;1,52409400
-24,31329513;1,01275700;1,47923200
-24,29281513;1,01275700;1,47923200
-24,27233513;1,01275700;1,47923200
-24,25185513;0,96865750;1,47923200
-24,23137514;0,96865750;1,47923200
-24,21089514;0,96865750;1,43437000
-24,19041514;0,96865750;1,43437000
-24,16993514;0,92455820;1,43437000
-24,14945514;0,92455820;1,43437000
-24,12897514;0,92455820;1,43437000
-24,10849514;0,92455820;1,34479800
-24,08801514;0,92455820;1,38966000
-24,06753514;0,92455820;1,34479800
-24,04705514;0,92455820;1,34479800
-24,02657514;0,88045900;1,29993600
-24,00609514;0,88045900;1,29993600
-23,98561514;0,88045900;1,29993600
-23,96513514;0,83635970;1,29993600
-23,94465514;0,88045900;1,29993600
-23,92417514;0,83635970;1,29993600
-23,90369514;0,83635970;1,25507400
-23,88321514;0,83635970;1,25507400
-23,86273514;0,83635970;1,25507400
-23,84225514;0,83635970;1,21021200
-23,82177514;0,79226050;1,21021200
-23,80129514;0,79226050;1,16550200
-23,78081514;0,79226050;1,16550200
-23,76033514;0,79226050;1,16550200
-23,73985514;0,74816130;1,16550200
-23,71937514;0,74816130;1,16550200
-23,69889514;0,74816130;1,16550200
-23,67841514;0,74816130;1,12064000
-23,65793514;0,74816130;1,12064000
-23,63745514;0,74816130;1,12064000
-23,61697514;0,74816130;1,07577700
-23,59649514;0,70390940;1,07577700
-23,57601514;0,74816130;1,07577700
-23,55553514;0,70390940;1,07577700
-23,53505514;0,70390940;0,98605300
-23,51457514;0,65981020;1,03091500
-23,49409514;0,70390940;1,03091500
-23,47361514;0,65981020;0,98605300
-23,45313514;0,70390940;0,98605300
-23,43265514;0,65981020;0,98605300
-23,41217514;0,65981020;0,94134340
-23,39169514;0,61571090;0,94134340
-23,37121514;0,61571090;0,94134340
-23,35073514;0,61571090;0,94134340
-23,33025514;0,61571090;0,89648120
-23,30977514;0,57161170;0,89648120
-23,28929514;0,57161170;0,89648120
-23,26881514;0,61571090;0,89648120
-23,24833514;0,57161170;0,89648120
-23,22785514;0,57161170;0,85161900
-23,20737514;0,57161170;0,85161900
-23,18689514;0,52751240;0,80675680
-23,16641514;0,52751240;0,80675680
-23,14593514;0,52751240;0,80675680
-23,12545514;0,52751240;0,80675680
-23,10497514;0,48341320;0,76189460
-23,08449514;0,52751240;0,76189460
-23,06401514;0,52751240;0,76189460
-23,04353514;0,48341320;0,76189460
-23,02305514;0,48341320;0,76189460
-23,00257514;0,48341320;0,71703240
-22,98209514;0,48341320;0,71703240
-22,96161514;0,43931390;0,71703240
-22,94113514;0,43931390;0,67232280
-22,92065514;0,43931390;0,67232280
-22,90017514;0,39521470;0,67232280
-22,87969514;0,39521470;0,62746050
-22,85921514;0,39521470;0,62746050
-22,83873514;0,39521470;0,62746050
-22,81825514;0,39521470;0,58259830
-22,79777514;0,39521470;0,62746050
-22,77729514;0,39521470;0,58259830
-22,75681514;0,39521470;0,58259830
-22,73633514;0,39521470;0,58259830
-22,71585514;0,35111550;0,58259830
-22,69537514;0,35111550;0,53773610
-22,67489514;0,35111550;0,49287390
-22,65441514;0,30701620;0,53773610
-22,63393514;0,35111550;0,49287390
-22,61345514;0,35111550;0,44816430
-22,59297515;0,30701620;0,44816430
