Temps;Canal A;Canal B
(ms);(V);(V)

-50,08856580;0,70390940;3,30515500
-50,04760580;0,70390940;3,48399300
-50,00664580;0,74816130;3,57341200
-49,96568580;0,74816130;3,57341200
-49,92472580;0,74816130;3,66283200
-49,88376580;0,74816130;3,75225100
-49,84280580;0,74816130;3,75225100
-49,80184580;0,79226050;3,84167000
-49,76088580;0,83635970;4,02050800
-49,71992580;0,83635970;4,02050800
-49,67896580;0,83635970;4,10992800
-49,63800580;0,88045900;4,19934700
-49,59704580;0,88045900;4,37849000
-49,55608580;0,92455820;4,37849000
-49,51512580;0,92455820;4,46791000
-49,47416580;0,92455820;4,55732900
-49,43320580;0,92455820;4,64674800
-49,39224580;0,96865750;4,73616700
-49,35128580;1,01275700;4,73616700
-49,31032580;1,01275700;4,82558700
-49,26936580;1,01275700;4,91500600
-49,22840580;1,05685600;5,00442500
-49,18744580;1,05685600;5,09384400
-49,14648580;1,05685600;5,09384400
-49,10552580;1,10095500;5,09384400
-49,06456580;1,10095500;5,09384400
-49,02360580;1,10095500;5,09384400
-48,98264580;1,10095500;5,09384400
-48,94168580;1,14505400;5,09384400
-48,90072580;1,18915400;5,09384400
-48,85976580;1,18915400;5,09384400
-48,81880580;1,18915400;5,09384400
-48,77784580;1,23325300;5,09384400
-48,73688580;1,23325300;5,09384400
-48,69592581;1,27735200;5,09384400
-48,65496581;1,27735200;5,09384400
-48,61400581;1,27735200;5,09384400
-48,57304581;1,27735200;5,09384400
-48,53208581;1,27735200;5,09384400
-48,49112581;1,32145100;5,09384400
-48,45016581;1,36555100;5,09384400
-48,40920581;1,36555100;5,09384400
-48,36824581;1,36555100;5,09384400
-48,32728581;1,36555100;5,09384400
-48,28632581;1,40965000;5,09384400
-48,24536581;1,40965000;5,09384400
-48,20440581;1,45390200;5,09384400
-48,16344581;1,45390200;5,09384400
-48,12248581;1,45390200;5,09384400
-48,08152581;1,49800100;5,09384400
-48,04056581;1,49800100;5,09384400
-47,99960581;1,54210000;5,09384400
-47,95864581;1,54210000;5,09384400
-47,91768581;1,54210000;5,09384400
-47,87672581;1,58620000;5,09384400
-47,83576581;1,58620000;5,09384400
-47,79480581;1,58620000;5,09384400
-47,75384581;1,63029900;5,09384400
-47,71288581;1,63029900;5,09384400
-47,67192581;1,63029900;5,09384400
-47,63096581;1,67439800;5,09384400
-47,59000581;1,67439800;5,09384400
-47,54904581;1,71849700;5,09384400
-47,50808581;1,71849700;5,09384400
-47,46712581;1,71849700;5,09384400
-47,42616581;1,71849700;5,09384400
-47,38520581;1,76259600;5,09384400
-47,34424581;1,80669600;5,09384400
-47,30328581;1,80669600;5,09384400
-47,26232581;1,80669600;5,09384400
-47,22136581;1,80669600;5,09384400
-47,18040581;1,80669600;5,09384400
-47,13944581;1,85079500;5,09384400
-47,09848581;1,85079500;5,09384400
-47,05752582;1,89489400;5,09384400
-47,01656582;1,93899300;5,09384400
-46,97560582;1,93899300;5,09384400
-46,93464582;1,93899300;5,09384400
-46,89368582;1,93899300;5,09384400
-46,85272582;1,98309300;5,09384400
-46,81176582;1,98309300;5,09384400
-46,77080582;1,98309300;5,09384400
-46,72984582;1,93899300;5,09384400
-46,68888582;1,93899300;5,09384400
-46,64792582;1,89489400;5,09384400
-46,60696582;1,89489400;5,09384400
-46,56600582;1,89489400;5,09384400
-46,52504582;1,85079500;5,09384400
-46,48408582;1,85079500;5,09384400
-46,44312582;1,80669600;5,09384400
-46,40216582;1,80669600;5,09384400
-46,36120582;1,80669600;5,09384400
-46,32024582;1,80669600;5,09384400
-46,27928582;1,80669600;5,09384400
-46,23832582;1,76259600;5,09384400
-46,19736582;1,71849700;5,09384400
-46,15640582;1,71849700;5,09384400
-46,11544582;1,71849700;5,09384400
-46,07448582;1,71849700;5,09384400
-46,03352582;1,67439800;5,09384400
-45,99256582;1,63029900;5,09384400
-45,95160582;1,63029900;5,09384400
-45,91064582;1,63029900;5,09384400
-45,86968582;1,63029900;5,09384400
-45,82872582;1,58620000;5,09384400
-45,78776582;1,58620000;5,09384400
-45,74680582;1,58620000;5,09384400
-45,70584582;1,54210000;5,09384400
-45,66488582;1,54210000;5,09384400
-45,62392582;1,54210000;5,09384400
-45,58296582;1,49800100;5,09384400
-45,54200582;1,45390200;5,09384400
-45,50104582;1,45390200;5,09384400
-45,46008582;1,45390200;5,09384400
-45,41912582;1,45390200;5,09384400
-45,37816583;1,40965000;5,09384400
-45,33720583;1,40965000;5,09384400
-45,29624583;1,40965000;5,09384400
-45,25528583;1,36555100;5,09384400
-45,21432583;1,36555100;5,09384400
